activity_id,date,sport_type,distance_km,moving_hh:mm:ss,moving_time_min,avg_pace_per_km,avg_elapsed_pace_km,elapsed_time_hh:mm:ss,elapsed_time_min,fastest_split_per_km,elevation_gain_m,max_elevation_m,calories,steps
16077345831,10/8/2025,Walk,6.88,2:11:49,31:32,4:35,19:08,2:11:49,132,1:02,66,10,,"1,914"
16045506178,10/5/2025,Walk,6.78,4:14:18,29:44,4:23,32:29,4:14:18,254,50s,59,12,,"2,110"
12854154278,11/8/2024,Walk,6.71,2:57:27,1:19:04,11:46,26:26,2:57:27,177,5:31,84,21,,"8,092"
12683147085,10/18/2024,Walk,8.72,2:27:43,1:10:57,8:08,16:56,2:27:43,148,1:36,87,14,,"4,090"
12680969835,10/17/2024,Walk,124.21,6:52:37,2:53:13,1:24,3:19,6:52:37,413,1s,580,41,,"7,000"
12655162965,10/14/2024,Walk,8.36,2:42:51,1:03:14,7:34,19:29,2:42:51,163,1:03,66,18,,"4,746"
12631476051,10/11/2024,Walk,7.13,3:30:34,53:51,7:33,29:32,3:30:34,211,1:06,47,18,,"5,836"
12624510761,10/10/2024,Walk,12.56,4:29:42,2:28:10,11:48,21:28,4:29:42,270,5:36,129,23,,"11,106"
12592896582,10/6/2024,Walk,9.30,3:25:25,2:01:02,13:01,22:05,3:25:25,205,10:13,110,23,,"10,176"
12542635165,9/30/2024,Walk,4.40,1:02:27,1:01:40,14:01,14:12,1:02:27,62,11:40,56,21,,"6,118"
