Activity Type,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Commute.1,Average Elapsed Speed,Hour_of_Day,Month,Distance_km,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
Walk,-1.444327416,-0.1565157523,0.03265047739,-0.3163683951,-0.3500190756,-0.319782754,-0.334830571,0.57548418,0.07522564636,-0.836446352,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.2493741713,0.2737719195,1.222600037,-0.1602523501,0,0,0,0,0,1,0
Walk,-1.444327416,-0.08486280159,0.2900891988,0.1216062114,-0.3625176612,-0.2490556011,-0.2639744385,0.5079311021,0.09468528041,-0.2518315742,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.1789316835,0.2737719195,1.222600037,-0.09748025573,0,0,0,0,0,0,1
Walk,-1.444327416,-0.1221034799,0.07484419917,-0.1903430242,-0.3895307333,-0.3615233688,-0.3459018417,0.5877665578,0.1180368413,1.495134938,0.08456351461,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.3820919018,0.4468087707,1.222600037,-0.1637301728,0,0,0,0,1,0,0
Walk,-1.444327416,-0.01877238258,0.393862947,1.256232106,-0.3165551206,-0.1551392178,-0.2041895767,0.3666837576,0.1336045485,-0.2655872161,0.1874893924,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.1544299487,0.2737719195,1.222600037,-0.04369688104,0,0,0,1,0,0,0
Walk,-1.444327416,-0.06100991142,0.3171730067,0.649163521,-0.3371173098,-0.2536934472,-0.2661886926,0.5202134799,0.07911757317,-0.6576230082,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.1636180992,0.2737719195,1.222600037,-0.07679949811,0,1,0,0,0,0,0
Walk,-1.444327416,-0.001047705302,0.3305723643,-0.3436672662,-0.3705812648,-0.2780421392,-0.3292949357,0.5632018022,0.1219287681,-0.4581662017,0.1874893924,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.362694695,0.2737719195,1.222600037,-0.09117996011,0,0,0,0,0,1,0
Walk,0.9691799552,-0.01933806377,0.2325004704,-0.3351860635,-0.3560667783,-0.3058692157,-0.3204379191,0.5570606133,0.1180368413,-0.5269444108,0.1360264535,,,0,0,-0.02382295238,0.6891378095,0,0,0.7475021212,0,-0.3902591468,0.2737719195,1.222600037,-0.1092988954,0,0,0,0,0,1,0
Walk,-1.444327416,-0.1214435185,0.1760521129,-0.06166727752,-0.346390454,-0.2884772929,-0.3060452672,0.514072291,0.1491722557,-0.8089350683,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.161576288,0.2737719195,1.222600037,-0.1201047216,0,0,0,0,0,0,1
Run,-1.444327416,-0.274743121,-0.2336261182,-0.2609755402,0.2934564927,-0.3035502927,-0.318223665,0.5017899132,0.08690142679,-1.152826114,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,1.257482523,-1.629633444,1.45741862,-0.1205441039,0,1,0,0,0,0,0
Walk,0.4542983827,-0.2734231982,-0.2729689128,-0.5333016571,-0.1387526609,-0.268766447,-0.2827955987,0.7105903357,0.1686318898,0.02328126235,0.1360264535,,,0,0,-0.02382295238,0.6271416022,0,0,0.2993543172,0,0.07629472137,-1.11052289,1.45741862,-0.211310065,1,0,0,0,0,0,0
